Feature,Importance
votes,59.190706883398526
primary_genre,15.38454086638028
runtime_minutes,6.135490827230157
rating,5.5593189820585875
metascore,1.2307970813891629
title_length,0.6138672187017576
genre_count,0.27685583282982124
movie_age,0.0926306162692967
year,0.033773522679068434
director_movie_count,-0.7747092967811596
