Model,MAE,RMSE,R2 Score
Gradient Boosting Regressor,40.47702046468933,79.43984891629896,0.516427435959047
Random Forest Regressor,41.95520479376925,81.57332433649937,0.49010452670257865
Linear Regression,59.240196233270005,197.17677827293195,-1.9791774104220048
