Model,Actual Revenue,Predicted Revenue
Gradient Boosting Regressor,10.14,19.592027371285564
Gradient Boosting Regressor,6.92,7.523671567526561
Gradient Boosting Regressor,2.2,5.887676067783079
Gradient Boosting Regressor,136.02,74.01366706513518
Gradient Boosting Regressor,187.99,183.71723649835695
Gradient Boosting Regressor,26.84,25.819362503101278
Gradient Boosting Regressor,42.34,123.17060849777606
Gradient Boosting Regressor,62.4,68.86566120889364
Gradient Boosting Regressor,59.89,56.310088646959606
Gradient Boosting Regressor,150.17,74.80154004632372
Gradient Boosting Regressor,150.83,139.26765025727167
Gradient Boosting Regressor,10.38,4.2583787814526115
Gradient Boosting Regressor,0.79,2.224543641062825
Gradient Boosting Regressor,47.17,98.2407426086092
Gradient Boosting Regressor,134.52,155.40855268916278
Gradient Boosting Regressor,54.24,45.41453845842106
Gradient Boosting Regressor,0.01,14.143556430100176
Gradient Boosting Regressor,9.24,9.073578973685144
Gradient Boosting Regressor,5.69,42.89264887965356
Gradient Boosting Regressor,31.99,20.626132666323304
Gradient Boosting Regressor,45.13,29.26763676208377
Gradient Boosting Regressor,75.31,54.07508251896269
Gradient Boosting Regressor,39.0,20.509470552406434
Gradient Boosting Regressor,80.17,90.53280315338031
Gradient Boosting Regressor,0.07,14.052681476709663
Gradient Boosting Regressor,126.59,104.3189953173525
Gradient Boosting Regressor,36.06,75.79438368433499
Gradient Boosting Regressor,95.33,17.437988440389848
Gradient Boosting Regressor,89.29,81.95131871290297
Gradient Boosting Regressor,43.77,16.305690833351463
Gradient Boosting Regressor,113.08,20.59830610265484
Gradient Boosting Regressor,43.02,36.897085339024144
Gradient Boosting Regressor,169.27,20.75124342745956
Gradient Boosting Regressor,89.73,104.50067327584198
Gradient Boosting Regressor,95.72,32.86001538907869
Gradient Boosting Regressor,10.33,34.38409013520823
Gradient Boosting Regressor,97.03,97.730107875629
Gradient Boosting Regressor,128.0,47.52828360084744
Gradient Boosting Regressor,11.23,2.3034568640192337
Gradient Boosting Regressor,3.22,1.4507432009164174
Gradient Boosting Regressor,155.33,172.73327425676936
Gradient Boosting Regressor,18.7,5.283650106934131
Gradient Boosting Regressor,28.75,83.77029614792959
Gradient Boosting Regressor,65.07,17.235142009473133
Gradient Boosting Regressor,13.96,8.086214924269694
Gradient Boosting Regressor,83.3,33.148231139223626
Gradient Boosting Regressor,60.96,87.6928082424944
Gradient Boosting Regressor,53.36,34.108134079962454
Gradient Boosting Regressor,402.08,326.7720945805731
